"","-1/4-wave","+1/4-wave","cylinder","dihedral","dipole","left helix","narrow dihedral","random volume","right helix","trihedral","class"
"2417","0.51391937389758","0.579206400249746","0.596244217180692","0.57382740215562","0.414128127361495","0.809678441399892","0.636004859552119","0.328578916332328","0.691228586900084","0.519752329332109","rich"
"2131","0.59856279379485","0.704775297258887","0.397439405326738","0.946897722636739","0.58199354140448","0.939766770924272","0.926525836884016","0.311319898363779","0.897221211024835","0.19471658153279","rich"
"1418","0.668808788152559","0.654784623536898","0.403840879669497","0.964788509838048","0.582192798832549","0.949413911114909","0.946856959451958","0.360736241966911","0.954428427887888","0.185434843597781","poor"
"2005","1.08330539536516","0.330436647510477","0.586941004111161","0.898070664156574","0.835220071876472","0.839145557040287","0.826552852177812","0.568730836441289","0.917915991555069","0.607368825604175","rich"
"1946","0.552447177124573","0.747851199032559","0.624813961435352","0.822968246486573","0.438242343768512","0.92618960129965","0.891779763622378","0.445589778607106","0.844207885746935","0.452539570983566","poor"
"30","0.676545430722257","0.648895229735373","0.341664011166506","0.990358114972565","0.615111573225777","0.990673186962684","0.952044589222186","0.387211359529912","0.996892603972078","0.0615206530222871","poor"
"438","1.07427661997115","0.572373049844975","0.960947567500402","0.91322304436388","0.480451724335018","0.931367965337933","1.08043540544148","0.735970723699466","0.910994892798686","0.758692695477442","poor"
"728","0.661608343530369","0.599127278624295","0.321436105759178","0.929097786780543","0.602478312194541","0.974288750391395","0.887084306099262","0.337556801400794","0.933966011693729","0.111811365874537","poor"
"1643","0.875218003658258","0.448816065065363","0.546057840614406","0.795645895759629","0.736764174674827","0.766820463832493","0.742269431717677","0.489968316000496","0.923882499202037","0.557162016986971","poor"
"823","0.57308935965631","0.864317257051955","0.477388763811095","0.971713820631033","0.746956293147267","0.908054610266631","0.912852824471136","0.498849024782415","0.990990460065488","0.421663344235485","poor"
"3153","0.663033026845819","0.652408075510484","0.353973650141113","0.955008225181148","0.637866702552077","0.911747479361564","0.90866229906","0.307881702638227","0.921360480389699","0.194712201880166","rich"
"2604","0.486288001155433","0.84790301001921","0.404847790372912","0.842221979602501","0.839337404857565","0.952126686616049","0.71705882835502","0.49696820339093","0.846931628001975","0.494207692730408","rich"
"1314","0.749720891542072","0.540500325979254","0.339894711608585","0.944947786243815","0.63854629524621","0.942786898880575","0.895142102469444","0.356543449647673","0.954995440564536","0.186395529748122","poor"
"2639","0.948804878119689","0.553476668137182","0.631791093578778","0.861906884349125","0.837061293323419","0.826173176746189","0.79898914055549","0.586761642542885","0.87816771404849","0.658996853548682","rich"
"1535","0.563478689843525","0.687106450454311","0.387194233917041","0.904411554187212","0.555337339383157","0.926742501258358","0.887434571730055","0.306828682930026","0.907672577155922","0.190504752291765","poor"
"820","0.418998166145283","0.944425096072013","0.424080837084007","0.906780284048361","0.838009419781248","1.00209465086599","0.794637764338504","0.518736586159373","0.85955489583439","0.476802069367937","poor"
"1294","0.622518324808794","0.64298354610137","0.28685653952603","0.937144319452874","0.629562817033421","0.949630163080452","0.881303932716711","0.343201170993786","0.975262404048033","0.0800845192499506","poor"
"764","0.680181086259723","0.627578068971524","0.350127859837306","0.968005689394661","0.606469698802582","0.919498876151315","0.932423631485949","0.327659018469342","0.97509985876273","0.115921482245832","poor"
"1487","0.439280953684337","0.834812281081699","0.345886832417703","0.922066954820813","0.691291969514274","0.905792383970909","0.852823307965218","0.385097933431069","0.964329087933644","0.278698422507226","poor"
"726","0.632662208901159","0.588244803549745","0.228603153764413","0.882603416873913","0.672937607998401","0.888727878373497","0.798617696442242","0.31141245324358","0.96256835601524","0.169455349393286","poor"
